Date,Open,High,Low,Close,Volume,Ticker
2023-05-02,168.3918123170909,168.6492261368123,165.86726857821876,166.85728454589844,48425700,AAPL
2023-05-03,167.8077343335882,169.21355542791596,165.49110021081347,165.7781982421875,65136000,AAPL
2023-05-04,163.24372680909343,165.3722550253471,162.66951575440282,164.13473510742188,81235400,AAPL
2023-05-05,169.27291399392053,172.55977402605672,169.055109287866,171.83706665039062,113316400,AAPL
2023-05-08,170.7579255984111,172.1142575536809,170.3916245765101,171.7677459716797,55962800,AAPL
2023-05-09,171.32225761857964,171.80735575023974,169.8867375588741,170.05503845214844,45326900,AAPL
2023-05-10,171.29257694818676,172.29248769554175,170.1837487273319,171.82717895507812,53724500,AAPL
2023-05-11,172.11426641943214,172.8468685009711,170.45103188917147,172.0152587890625,49514700,AAPL
2023-05-12,172.12433187191172,172.5605438773201,169.52690691086858,171.08338928222656,45497800,AAPL
2023-05-15,171.6682680003546,171.71784028672823,169.99282456135643,170.58766174316406,37266700,AAPL
2023-05-16,170.50834911043384,171.6484360603376,170.31998349861684,170.58766174316406,42110300,AAPL
2023-05-17,170.23077817517168,171.4402543357864,168.9518826544196,171.20233154296875,57951600,AAPL
2023-05-18,171.50966446616422,173.73037308197308,171.0932844370763,173.54200744628906,65496700,AAPL
2023-05-19,174.8704617599002,174.8704617599002,173.43295602393476,173.65106201171875,55772400,AAPL
2023-05-22,172.481219573557,173.20494177332736,171.95578654636702,172.69932556152344,43570900,AAPL
2023-05-23,171.6385593675291,171.8864057178537,169.8044903241909,170.0820770263672,50747300,AAPL
2023-05-24,169.61611066863975,170.93465495874622,169.0510289027881,170.35964965820312,45143500,AAPL
2023-05-25,170.92475054539574,172.4019050243478,170.21095188854838,171.499755859375,56058300,AAPL
2023-05-26,171.826923039006,174.25581421879875,171.61872545109665,173.91873168945312,54835000,AAPL
2023-05-30,175.4355461600694,177.44805707235744,175.04890650518007,175.77261352539062,55964400,AAPL
2023-05-31,175.80235035598085,177.80495282122013,175.2372534954211,175.72303771972656,99625300,AAPL
2023-06-01,176.1691489115404,178.56829930609416,175.4057780636658,178.53855895996094,68901800,AAPL
2023-06-02,179.4704869589175,180.21402596420296,177.71573067078862,179.39117431640625,61945900,AAPL
2023-06-05,181.05671795588958,183.35672418608127,176.50624753561252,178.03298950195312,121946500,AAPL
2023-06-06,178.41964625028925,178.56834802152292,175.90151865689154,177.66619873046875,64848400,AAPL
2023-06-07,176.90280103766142,179.64894264257165,175.79245430672572,176.28814697265625,61944600,AAPL
2023-06-08,176.36743802214428,179.28211321134853,175.93124119908015,179.0144500732422,50214900,AAPL
2023-06-09,179.93644924551378,180.66015634842165,179.0739487923587,179.40110778808594,48870700,AAPL
2023-06-12,179.70841552076647,182.30584013644759,179.4109969086846,182.20669555664062,54274900,AAPL
2023-06-13,181.22524912557424,182.56361030209754,180.86834978636662,181.73085021972656,54929100,AAPL
2023-06-14,181.79032062893717,182.8015378873281,180.45195952819037,182.36532592773438,57462900,AAPL
2023-06-15,182.37524971506843,184.91319370821412,182.19679249165128,184.40757751464844,65433200,AAPL
2023-06-16,185.12135487176403,185.37912470625074,182.68255574170084,183.3269500732422,101235600,AAPL
2023-06-20,182.8213918043196,184.4968356108102,182.8213918043196,183.4162139892578,49799100,AAPL
2023-06-21,183.30714894064778,183.8127651610623,181.01705115534045,182.37525939941406,49515700,AAPL
2023-06-22,182.15714267343606,185.43862563579464,182.0877384404729,185.38905334472656,51245300,AAPL
2023-06-23,183.9515678810459,185.94424713129428,183.41621128242684,185.0718231201172,53079300,AAPL
2023-06-26,185.2205087707664,186.42999999051133,183.63428631385352,183.6739501953125,48088700,AAPL
2023-06-27,184.28862175731683,186.767085127622,184.07051577054278,186.43992614746094,50730800,AAPL
2023-06-28,186.311023626698,188.26405378835105,185.9838798047539,187.61965942382812,51216800,AAPL
2023-06-29,187.45114025988062,188.43261718372244,187.31234691859044,187.9567413330078,46347300,AAPL
2023-06-30,189.9791732182635,192.8046122965116,189.61235036422667,192.29901123046875,85069600,AAPL
2023-07-03,192.11065327577057,192.20979786240994,190.1080506189076,190.80203247070312,31458200,AAPL
2023-07-05,189.91970062749374,191.31754248795588,188.97787243386384,189.6817626953125,46920300,AAPL
2023-07-06,188.20457782150964,190.36580559694158,187.57009184775086,190.15760803222656,45094300,AAPL
2023-07-07,189.76107572138073,191.01021583133178,188.60115666342472,189.037353515625,46778000,AAPL
2023-07-10,187.62957811566648,188.3533002828443,185.42870151973196,186.9851837158203,59922200,AAPL
